category,post_id,name,url,format
about_us,,kaisoku_icon.jpg,http://www.fuji-daigo-wakatakekai.org/about_us/kaisoku/kaisoku_icon.jpg,
about_us,,fusoku_icon.jpg,http://www.fuji-daigo-wakatakekai.org/about_us/fusoku/fusoku_icon.jpg,
about_us,,meibo_icon.jpg,http://www.fuji-daigo-wakatakekai.org/about_us/meibo/meibo_icon.jpg,
about_us,,history_icon.jpg,http://www.fuji-daigo-wakatakekai.org/about_us/history/history_icon.jpg,html
,,,,html
,,,,html
,,,,html
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,html
,,,,html
,,,,html
